clip	ending0	ending1	ending2	ending3	ending4	label
video7682	the men think the room is hot	a man and woman are fighting	white words on a screen with a background of a man wearing a hat	there is a man with cooling glass walking through the grass	a man and woman are cuddling	4
video8938	soldiers are charging to fight	a woman is talking	soldiers are charging to play	a group of men talking to eachother in spanish	an asian lady laughs in front of her computer before scowling at a guy	0
video7680	a man is operating a robot	girls talk while boy drinks beer	guy talking about disease that paralyses the human body	a german woman disciplines a young girl	a german woman tutors a young girl	4
video7681	a woman is pouring a bottle	a group of people are dancing	an alpaca named nutter butter talks about visiting her in mississippi	a group of people are fishing	asian kids standing outside and doing school work	3
video8935	a lady is walking across the street with a tiger	a lady is jumping across the street with a tiger	a female politician is giving a speech	a person is cooking	a person explaining features of mobile phone	0
video8934	presentation of the beautiful waterfalls in the mountain	someone is on the bottom of the pile	a car is passing another car	a car is crashing into another car	someone is folding paper	3
video8937	man in car speaks about traffic outside pollutions	a girl singing a song on a stage	a short clip showing images playing the song let it shine	feedback is given to a performer	a short clip showing images playing the song let it be	2
video8936	men play basketball on a court	a boy is using itunes	woman are training in gymnastics	woman are practicing baseball	a man is being forceful with a woman	2
video8930	group of people are clapping	cartoon characters are exercising and running	group of people are marching	a girl is doing a commentary while playing the sims	two soldiers are interacting in a movie	0
video7688	a male sings over a video that displays gameplay and an animated character	a woman talking to the camera	one of two guys swimming on a carton of eggs with bare feet	one of two guys walking on a carton of eggs with bare feet	the interior of the car with its upholstery is very beautiful with it s dashboard	3
video8932	a man in a red shirt is jumping around	a aldy is smiling and talking wears red color dress	a man speaks to a camera for a video segment	a man in a red shirt is smiling	a machine is cutting wood	3
video7170	a baby elephant standing by a larger elephant	a woman is preparing grain alcohol in a dish	a man is showing off his vehicle	a baby elephant sleeping by a larger elephant	a movie trailer	0
video7171	brittiney spears cancels a press conference tells the reporters to (insert explicit) themselves	brittiney spears holds a press conference tells the reporters to (insert explicit) themselves	a chinese boy band performing	man juggeling pins while standing on top of snow covered mountain	a cartoon character is talking	1
video7173	people play with a big beach ball	new gadget where it allows you to control the game just with your hands	coloring on a bowl	a man is speaking about rules standards distinction	dumping products into a bowl	2
video7174	someone is doing some craft work with some artificial flower	a man is talking about his audition	a man stands on a ski lift to the top of a mountain	a man shows off part of a website	a man rides on a ski lift to the top of a mountain	4
video7175	a man playing a game with a screen up on the computer	a group of guys squatting around a table with food trays on it	someone pours oil into a pan and begins cooking and stirring a small amount of white vegetables	a selection of animated pets is displayed in the middle of a split screen	a group of guys standing around a table with food trays on it	4
video7176	a school bus is rolling over in a simulated action	a man is discussing the first manned space flight	a female speaker discusses the medication kegel and its drawbacks	a man is wearing a black hat	a man is debating the first manned space flight	1
video7177	the little boy ran	someone playing a fun little video game	the little boy danced	demonstration on how to prepare something using a microwave	two men are wrestling each other	2
video9688	a man playing a car game	a commercial for color works a black guy watching a ad  its for make up	a car speeds down a road	group of doctors look at a woman giving birth	a commercial for color fakes a black guy watching a ad  its for make up	1
video9689	man adds food coloring to some food he is cooking and dares people to be carful	two sportsman are on the field	man adds food coloring to some food he is cooking and warns people to be carful	a man is singing	an infant coos as an adult encourages her to say mama or dada	2
video8453	the people are singing a song and making good atmosphere	video of girl holding microphone is shown	video of girl singing into a microphone is shown	a young man searching for something in the hotel corider	a man in a black hat slices a potato very thinly with a knife on a wooden surface as he speaks in spanish	1
video9680	home made video of a woman presenting guinea pigs	an astronaut talking through the radio and yellow words are going down the screen with the earth in the background	an astronaut coughing through the radio and yellow words are going down the screen with the earth in the background	there is a boy who have tied two more extra wheels for his bicycle	a man is describing a vehicle and laughs about making a mistake	1
video9681	some soldiers are talking	people fighting on the field	people dancing on the field	someone is talking while playing a video game	man and woman conversing in parked car	1
video9682	a cell phone with an x is shown	a man and woman hate shopping together	a man and woman enjoy shopping together	an unseen man explains about an expansion on the skylanders series	a man preparing a food dish	2
video9683	a man acting out a sport with two women	a man gives a presentation at the ted talks	a man preforming a play with two women	video game players are laughing about their characters	a person making play dough	2
video9684	clip of people under water	clip of people eating	a woman narrates directions with a demonstration of how to throw an onion	tropic thunder movie trailer	a woman narrates directions with a demonstration of how to chop an onion	4
video9685	footage of soccer players in actino	people are doing martial arts kicks	a woman opens her eye	a man is speaking about a politics	people are doing martial arts karate chops	1
video9686	a women is having a heart attack and another women is trying to help her	a man is reporting on a police officer holding back teenagers	there is a driver driving tractor in hlls roads	a women is giving birth and another women is trying to help her	person is slicing the onions and putting into the pan	3
video8712	a woman talks about covering up in the middle east	woman showing how to put on mascara	a video showing pictures of a celebrity	news is always breaking and coving some thing but this man needs less beard and more hair on top	woman showing how to take on mascara	1
video8450	a elecopter diving in air and red and yellow dress man hand touching speaking in snow land wearing helmet displaying on screen	a person dances around in a room	a elecopter moving in air and red and yellow dress man hand touching speaking in snow land wearing helmet displaying on screen	a tube is placed in a pitcher	a chef is cooking	2
video9416	a brown horse jumps and prances happily around her pen	a group performing a song	a brown horse runs on a racetrack	a cartoon man dances for his girl	a female make up artist is showcasing a make up tutorial for eye shadow	0
video7772	a girl wearing yellow top having makeup kits	leaves are added and salt added and mixed	musicians on stage performing	musicians on stage yelling.	a person is riding a horse on field	2
video8808	mum and daughter are standing in a street	a man is eating ice cream	this shows a hiking trail and where to go on the trail	there are two people who fighting each other on the desk	there are two people who hugging each other on the desk	3
video9530	a man degrading features of a vehicle	two men are having a conversation	a man explaining features of a vehicle	man turns his car into a music studio	a girl singing on stage in front of an audience	2
video7771	clip showing different colors	a girl with a white horse	a man talking about the movie twelve years a slave	a golf player is trying to hit the ball into the pit	a golf player is trying to throw the ball into the pit	3
video7776	a cartoon woman with a tennis rack	kids running from a horse outside	a man in black is dancing on the grass	a man in black is walking on the grass	two men having a conversation	3
video9534	a man holding a ball in a field	coach interviewed about upcoming wrestling matches	a man is cooking something and talk about that	a man throwing a ball in a field	sports science basketball dunk	0
video9535	a toursist who is fond of a tokyo fashion clothes designer explains why all the excitement	a video of police brutality	a person is driving a car on the road	a person is pantomiming a car on the road	in a gym a volleyball game is in progress and the team in purple uniforms winning a big point	2
video8801	a old man in white color dress and boy in blue dress walking speaking inside hospital sitting and waving hand displaying on screen	man in black shirt is working out with his two friends	someone playing the car race video game and showing their moving on the screen	man in black shirt is talking with his two friends	a man in a black suit holding an award and being taking away in hand cuffs	3
video8800	a musical song is going on	a man is choking a doll	the players are on funny play on the ground	a man is holding a baby	the water was almost boiling when the chef added something else to the pot	3
video8803	guy throwing football around	showing how to buy a house	someone is making food	showing how to roof a house	a woman talking about dehydration	3
video9539	dalmation pups get scared	two men cooking food on a show	a person doing a cooking show and showing the ingredients for the recipe	two people discuss beauty	two men eating food on a show	4
video8805	someone whistes and the puppies wake up and come running	different photographs are being shown	a soldier is yelling to a superior person in a movie	a soldier is speaking to a superior person in a movie	some women are walking around	3
video8807	a lady and a guy dancing latin steps	the person picks up the grill	people in costumes are attacking a man and driving a car	a lady and a guy walking down a street	a woman presforms on stage with a horse	0
video7575	a person is playing a video game	a man is painting a product called the ugly rubber into a microphone in a recording studio	a man is describing a product called the ugly rubber into a microphone in a recording studio	a cartoon involving finding stuff	two men are riding on an animal	2
video7576	a boy is showing a toy	a pretty little girl with blonde hair holding a stuffed animal	a clip taken from a horror movie with two men hearing ghosts	a clip taken from a horror movie with two men seeing ghosts	a news report is showing on tv	3
video7577	a woman draws a planet	people are watching a rally car exhibition	a woman describe a planet	a house is on the beach	a person being interviewed	2
video7570	piccolo from dragonball is being held back	a cute baby lies on her stomach under a white blanket and cries with a face decorated with thick black eyebrows	a children s television show clip	a cute baby lies on her stomach under a white blanket and laughs with a face decorated with thick black eyebrows	in an animated children s show various scenes show characters and spaceships	3
video7571	a band is playing music	a women displaying how to remove a certain type of makeup	a first look at the chef that features a large red truck and palm trees in the background	a person is playing a video game	a women displaying how to apply a certain type of makeup	4
video7572	two men and a woman in aprons are talking to each other	two man are talikng about somethimg	a man is folding a piece of paper	there are still images of latino singers including ricky martin and jennifer lopez	two men and a woman in aprons are singing to each other	0
video7573	a lady in a room swimming to music	two puppies showing in a room	there is a woman making a dish with some meet	a man playing video games	a lady in a room dancing to music	4
video7578	a woman and a man walking on a busy street	a couple are dancing in front of a row of bottles	a couple are speaking in front of a row of bottles	robin williams does stand up	a man is installing wood flooring	2
video7579	a woman talks to her little dog as it sits on the floor	an animated sequence describes a computer chip s capabilities while a woman narrates	a woman talks to her little dog as it lays on the floor	people driving a car in the game	a soup is been prepared and its been kept in the cup	0
video9969	girl in pink sleepwear having conversation with girl in red sleepwear who is holding a cat	a child is walking next to a doctor and describes his visit to a hospital	someone is showing steps to color water play with toddler	bill murray in beach costume on late night talk show	girl in pink sleepwear having conversation with girl in red sleepwear who is petting a cat	0
video9228	guy in purple tshirt playing guitar as they walk through	celebrities being interviewed behind the scenes	guy in purple tshirt playing guitar as they drive through	an astronaut stands on the mood and a satellite floats in space	a guy skies down the slope while a guy talks	2
video9229	clip of people eating	a person reviewing a car	clip of people drinking	peoples surfing in the see the man in red and black dress dives in the waves	a guy shows how to edit a photo	0
video9226	a clear glass baking dish is shown and then a roll of paper towels and some snacks	a person is dancing and snoring into a microphone	in a kitchen show a chef is talking about the taste of the food prepared by others	a person is dancing and talking into a microphone	spongebob blows a bubble	3
video9227	a person is preparing food	a person is eating food	a young girl is doing gymnastics	beautiful tall lady wearing a red coat walking down the model stage	a person is showing information on the screen	0
video9224	characters are flying in a video game	characters are jumping in a video game	a girl dances to techno music in a large room	a man describes the interior of a car	someone is dipping a spoon in to a crock full of hot soup in order to eat it	1
video9225	a celebrity is yelling into a microphone	a woman sings to a man in a music video	a celebrity is speaking in a microphone	a commercial for a televison channel is being displayed	a cartoon character holds up an emerald	2
video9222	a man is eating a bread	judges are talking to a woman who peed on stage	a teacher is talking about his students	judges are talking to a woman who performed on stage	bill burr giving a tour of the santa monica pier in the daytime	3
video9223	the motivating songs for game	a person is playing video game of race	a woman in a blue dress and a man in a red tie are addressing the camera	a black puppy getting excited and sitting	a woman in a blue dress and a man in a red tie are turning away from the camera	2
video7419	advertising video about the jacket	two women are talking	there is man is playing and painting his guitar	there is man is playing and singing guitar	kid guitar player prepares for session	3
video9323	stick figures appear on a piece of paper	some paramilitary men shoot some people on a newscast	some paramilitary men patrol a neighborhood on a newscast	guy in formal wear answering to a news editor	there is a man in blue is swimming in the sea	2
video9322	a person is appreciating shirts	people talking while in office	a horror scene from the scary movie	a person explaining how to fold a paper airplane while folding a paper airplane	people tip toeing through an office	1
video9321	penguins flee though the snow	a person wearing block dress is jumping with his friend	a man wearing glasses	a clip of a video game outside	penguins walk in the snow	4
video9320	a man cries that he has been left alone with the baby that has a pacifier and is right beside him	an asian girl dances around in skimpy clothes to fast music	soldiers walking with their equipment	people race on a muti screen	a man says he has been left alone with the baby that has a pacifier and is right beside him	4
video9327	three young men giving a review on a hot dog	there is a boy showing a box the work nerf on it	three young men reading a review about a hot dog	a man shows off a white sofa	a person is making a desert in their kitchen	0
video9326	high school wrestling match recording	little girl competes in egg carrying competition	a classroom full of girls are praying	a classroom full of girls are singing	people are watching tv	3
video9325	a hooded woman is listening to a heated conversation between four men	some peole are sitting in hall	a man reviews a 1965 cadillac	the clips of the man playing guitar and posing	a man bombs a 1965 cadillac	2
video9329	a montage of high school sports events	several women in pink outfits and various other styles are standing and smiling	a man wearing a red apron tastes a dish then prepares to add the final ingredient	a celebrity is posing for pictures	a celebrity is hiding from photographers	3
video9328	a person playing minecraft the game	a plate of food being presented	a car is running very fast on the road	a car is reversing very fast on the road	an animated animal breaks some boards and throws them in a street where a car hits the boards	2
video7415	someone is talking about the cooking items like rice prawns etc	an advertisement about buying healthy food	a man is singing a song and another man is playing guitar in stage	a new car and it s features are being showcased	a cooking show about cooking healthy food	4
video7414	a girl is sleeping on feet and legs as well	care world gorgeous you women beautician speaking something	a man and woman in sensual poses as a romantic songs plays in background	a little girls is doing various activities like watching television and talking on her call phone	a girl is walking on feet and legs as well	4
video7413	there is a cool guy yelling to his father	a man is demonstrating a recipe	there is a cool guy talking to his father	two teams are playing volleyball	a woman against a white screen talks about the benefits of being a data scientist	2
video7412	women in fashion show shows off new clothing	a man raps about a city he has visited and shopped in	a man talks about a city he has visited and shopped in	hilary clinton is giving a speech	hillary clinton on bloomberg news discussing race relations after the removal of the confederate flag	2
video7411	woman shaking hands with men	a blonde woman sings and performs a song in a school setting	a blonde woman sings and rehearse a song in a school setting	a person playing a video game and commentating	the character flys through the air	1
video7610	a cop arresting someone	a person in blue color cloth wearing dress lifting weight lift still image shown displaying on screen	a person in blue color cloth wearing dress throwing weights around	there are three girls singing on a stage	kids react to strange dancing animation	1
video8451	a number of boys running race inside ground audience watching game shouting are hidden from view but can be heard off screen	a person in glasses a tan sports coat and tshirt explains the central nervous system	someone is playing a game	a bunch of woman are sitting inside a room learning about computer skills	a number of boys running race inside ground audience watching game shouting displaying on screen	4
video9508	two cartoons talk together	bunch of cookies and pastry on display	school children doing school work	a person in a garage is parking some cars	a person in a garage is talking about some cars	4
video9957	the boys and girls are sleeping	a girl open a big present	it is an advertisement for a car	a conversation between two people	the boys and girls are dancing	4
video8653	a man and a woman in a car getting ready to cry	a man and a woman in a car getting ready to kiss	man reads a paper on a bench	there is a lady is teaching the students related an experiment	a girl talks about fruit loops	1
video9039	the end of a trailed for an animated movie called aniboom	people are getting on a bus	a girl is washing her hands	two women with hats are interviewing people outdoors	two women with hats are watching people outdoors	3
video9038	all persons are speaking each other in forest	sampling the kings cooking	a chef preparing a food	person on the playground	a chef is holding dough in his hands	2
video9037	an amatuer wrestling event	people singing and dancing	women in athletic clothing change their babies diapers during a workout	women in athletic clothing carry their babies during a workout	a news outlet covering the price increase for bus tickets	3
video9036	two small kids with a red caps stand near a fire engine and a man in black helps them kick it	a web animation of a businessman	two small kids with a red caps stand near a fire engine and a man in black helps them board it	a man stirs a pot	a man and a lion hugging and playing in the desert	2
video9034	a model in red heels on a runway	a collection of dogs actually dying	a dog on a pillow shakes his head fiercely	a collection of dogs palying dead	football running highlights are shown	3
video9033	this is a video from the voice kids	a person standing on the edge of a building	she routed on hilary	a person sleeping on the edge of a building	a man performs a ping pong trick shot in a large high ceiling room	1
video8741	a father and daughter dance together	a camera panning around a structure	a camera standing still around a structure	some logos for the ted talks is being shown to people	guy tying a know	1
video9031	a woman talking about the features of a car and its nooks and crannies	a girl is cleaning a girl name rose	girl showing how to cook	a man talks about a city he born	a girl is eating a girl named rose	1
video7962	jack sparrow reaching for a lantern with his sword	jack sparrow crawling for a lantern with his sword	a video of a young couple embracing and some friends walking	students discuss disadvantages to being female in computer sciences world	the man mixes the food in a pot on the stove	0
video8320	a person is demonstrating the flexibility of a movement assistance device	a man talks about the modifications he uses on his car	a girl is having a pen and brushing her eye	a girl is using a pen and removing makeup from her eye	a panel of judges talk to a young person on stage	2
video8321	a man talking to the camera	a man whispers to the camera	two men are speaking to each other in the stands of a stadium	cars are shown as a woman gives information on their business	a man attaches a battery pack to something	0
video8322	labor ward turned into fun place	a baby with pink dress playing in front of the camera	a lady rides on a bicycle very well	a motorbike with a large rr on the side	a lady tries to ride on bicycle but fails	4
video8323	a cat playing on the bed with their kitten	a cat lying on the bed with their kitten	young men talk about a japanese comedy show	its fiscal clif where its written in dark red color american flag is shown	a man is standing	1
video8324	a woman is sitting in a chair is talking then waves goodbye	a country music video featuring two men on guitar and a female vocalist	people playing sport	a black shirt man talking about under water 360 aquarium	a country music video toning down two men on guitar and a female vocalist	1
video8325	chef is serving food here	a old man wears specs talking about something to media	someone is showing how to solve a rubik cube	chef is cooking food here	an animation talking about economists	3
video8326	a man gives a poor boy something to drink	some baseball players are doing their best to win	a small black rodent is in a cage and the door opens	a man is commentating while playing a video game	a man gives a poor boy something to eat	4
video8327	a team plays soccer on a field	a video clip from the show agents of shield	there is a woman talking about data science	a horse is standing in a barn a horse is jumping over a fence a horse is standing in the snow	a horse is standing in a barn a horse is knocking over a fence a horse is standing in the snow	3
video8328	a clip of a woman that really needs to go to the bathroom	a man learns about the various parts of an operating system for computers	looking at a man eformed red nose	a woman demonstrating the functions of a baby stroller	a man describes the various parts of an operating system for computers	4
video8329	a man is sitting with a woman	people dance in a music video	a man is standing	a person is playing a first person video game	a scene from four different disney clips all disney clips include different characters	2
video9418	man speaking on how we need to plant more trees to  protect the earth	in a stadium a man in a soccer jersey playing soccer without passing the ball	a guy is playing a car game	a woman is standing and telling some thing	man speaking on how we need to save the rain forrest to save the earth	4
video9811	two men are having a conversation while standing up	a car weaves around a turn	two men are having a conversation while sitting down	a man puts his phone down to be charged	father making a video with his infant child while mother is not home	2
video9810	a man is putting up police tape	black man doing stand up comedy	a woman in a red shirt is standing up	the dna strand is spiraling	a woman in a red shirt is sitting down	4
video9813	person talking to family	a man sits on a motorcycle	a woman teaches viewers how to color in eyebrows	a woman at a podium is speaking to a crowd	a man rides a motorcycle	4
video9812	jerry and andy talking on park and rec	a person is describing a computer screen	a person is breaking a computer screen	games tutorial with demonstration	characters are singing and dancing	1
video9815	in a music video a young girl writes on a window with condensation	a woman kicks a ball at a man s groin	a person showing graphic quality	a woman throws a plant at a man s groin	a man is talking about something	3
video9817	a woman talking about vision problems	a man on a talk show	soccer players score goals	soccer players failed to make the goal	a man is teaching origami	2
video9816	a blonde women is talking and pulling napkins from a dispenser	a crazed cartoon rabbit is holding a sign	a blonde women is calm and pulling napkins from a dispenser	the screen displays 7 days in europe a lady sits patiently on the plane	a reporter talking about a muslim writing a book about jesus	0
video9819	a man ignores a news video clip	man is talking about a video game he likes	people are dancing on top of cars	a man introduces a news video clip	a scene from an adult cartoon	3
video9605	a child runs	a woman prepares a duck to cook	a football player scores over another player	two people are giving news	a football player jumps over another player	4
video8556	a man bowls in a competition	people are dancing in the backs of trucks	an indian man is singing to the crowd	a child is singing on stage	people are eating hotdogs in the backs of trucks	1
video8498	a lady is yelling about different kinds of vegetable plants	a lady is talking about different kinds of vegetable plants	a girl does a skin treatment on her face	the mechanical parts of a jeep is shown	two characters in a cartoon are walking down a road	1
video8499	gameplay footage of minecraft	beautiful women wearing bikinis and a man sings in the background	men napping in the surveillance room	men working in surveillance room	a judge turns around for a girl auditioning for the voice kids	3
video8492	stonehenge is shown with information about the winter solstice	a guy singing about something	someone driving a car and filming the speedometer	two women talking on the camera	a guy talking about something	4
video8493	a child speaks to the camera at the dinner table	a sports video of great plays	a polar bear is sliding on the snow	man singing on talent show	a white colour bear is swimming in the water	4
video8490	a woman is showing how to prepare a recipe	a religious rock group sleep while the words flash on the screen	people dressed in white button down shirts and ties are sitting at tables in an office	a religious rock group sings while the words flash on the screen	a dna strand rotating with text next to it	3
video8491	a tshirt man is talking from a room	a man facing police brutality	a man reporting about police brutality	two women talking on the camera	two women are talking with cups in front of them	2
video8496	a cute girl with nice headgear standing in a room is seeing through a microphone	a man speaks to a man in a wrestling ring	a cute girl with nice headgear standing in a room is talking through a microphone	cartoon characters falling from the sky	a man is putting together some sort of dish with saurkraut	2
video8494	a chef is being photographed	woman is discussing a dog	a woman talking about celebrity gossip	presentation of the beautiful trees near the small lake	a woman worshipping about celebrity gossip	2
video8495	in a cupboard many plastic trays are kept a hand is turning one tray which contain number bottles with some stuff filled and open	in a cupboard many plastic trays are kept a hand is turning one tray which contain number bottles with some stuff filled and closed	people playing the drums	a clip of someone working on a potato dish	a woman is adding eggs to pasta in a recipe	1
video9063	people review disgusting food	photos of soccer player when they were young	a dance group is leaving the room	a dance group is performing	the different ways to use a stroller is shown	3
video8258	a woman is removing the features of a stroller	an eye is blinking	a woman is advertising the features of a stroller	showing how to prime the eye lid for further make up	man being spoken to by girl	2
video8259	an asian man is angry that his colleagues are letting this man eat ice cream without sharing	words being highlighted by a thick green bar	a group of guys on a talk show speaking spanish	some girls are about to kiss	a group of guys on a talk show learning spanish	2
video8255	a man showing his organ player recordings	various pictures of fit women in tight dresses are shown	a woman talking to a man	dog only has two legs	a man showing his organ player skills	4
video8256	cartoon title song for child	a video game character is exploring a castle	a man lights a candle	a person in white color dress wearing cloth speaking on topic white board explayning and many persons sitting on computer person teaching and explayning displaying on screen	a video game character is destroying a castle	1
video8257	the person plays with the dolls in the pink dresses	an animated man discusses dr sachs who can t recognize his own face	a male is talking about how to avoid injury in a lab	a male is talking about how to diagnose an injury in a lab	a man with a cowboy had and blue button shirt is sitting in an office chair and speaking	2
video8250	a man smashes some wood	a person covers a popular song	a man cuts some wood	an actor and a leader of a country sit next to each other in a room	a young man shows how to use a particular piece of equipment for car	2
video8251	a person in purple t-shirt is singing a song playing with gitar	a woman in white looks out at a frost covered window	a person in purple t-shirt is screaming a song playing with guitar	the smoke engulfed the stadium	clips of a basketball game	0
video8252	a man stands next to a smiilng bride about to throw her away	this is short vine clips of football games	an athlete attmepts to do a long jump and fails by falling	a man stands next to a smiilng bride about to give her away	a lady wearing black tshirt talking while standing in front of stacks of bottles	3
video8253	a cartoon is taunting another cartoon	there is an animated race car driving on a track behind a red and white car	a man watches someone slam dunk a basketball	a man is reviewing a sports car	a man attempts to slam dunk a basketball	4
video8474	a person is cooking	a choir and pianist are performing a song	a man kisses a woman and many people dance around a large fire	a choir and pianist are playing a song from the radio	game scene is shown here	1
video8475	there is a man with gun sitting nearby trees	the helpless man in black shirt is sitting on the floor	two women in purple shirts and white aprons are adding seasonings to a frying pan of vegetables	there is a man with gun standing nearby trees	girls talk while boy drinks beer	3
video8476	girls on a soccer team crying over a victory	girls on a soccer team celebrating a victory	fantasy characters prepare for battle	an computer animated and generated policeman plays with maniquis while melancholic music plays in the background	spongebob sqarepants and patrick are at a valentines day carnival	1
video8477	city limits videoed  taken from high point in day time	a man and a woman are doing some research on animals bone	two ladies talking each other	city limits photograph taken from high point in day time	a fish tank with a fish inside of it swimming past orange flowers	3
video8470	a video of the sun rising at stonehenge	a young boy rocks out on a guitar	2 guys fucking each other	2 guys wrestling each other	it is a outdoor musical show	3
video8472	mean and women work on computers and electronics and learn in class	the solar flares bursting on the sun	mean and women work on computers and electronics and sleep in class	a large cat is shown playing with and being petted by its owners	a man videos himself discussing preparing to interview people	0
video7215	cheetah on late night talk show	there is a man with white color hair is talking to someone	people talking about a film	a video game woman in a bikini aims a gun at a car	people demonstrating a karate move	2
video7214	two guys talking about music	a woman is shouting angrily at another woman	there are different color race cars on a track with a man sleeping in the background	there are different color race cars on a track with a man talking in the background	a man is talking about a software program	3
video7217	a woman is smashing a stroller	mechanics are working on a car	a woman is advertising a stroller	a person constructing an oragami shape out of paper	the person adds the ingredients to the stainless bowl	2
video7216	fathers practicing boxing martial arts with their children	an individual describing what is on their screen	a woman giving skin care tips	a woman stealing skin care tips	two men are demonstrating fire rescue	2
video8478	a man is holding a baby who is laughing at a cat licking its foot	a man speaks to a camera for a video segment	a scene from a disney cartoon is shown	a man is holding a baby who is laughing at a cat eating its food	a man is running	0
video8479	a woman is tasting some chitlins	a man is dancing with his cat	a man is talking to a baby in pink who is lying on a quilt	a man gives a kiss to a girl in a pink top	a woman is talking about chitlins	4
video7213	a person is playing football in wii home video game console	a woman is mixing cheese and spinach together	the video game has lots of action	a woman is pasting cheese and spinach together	a guy is kissing a lady while she is giving birth	1
video7212	a man in a dress shirt and black hair talking about a slide show	a woman talking about relationships	a maiden turns into a crow and scares a warrior	a woman debating about relationships with another woman	two characters chase each other in a video game	1
video8786	several people are being highlighted at a show with crowds of people behind them	a man and woman debating about a video they will be playing	a man and woman talking about a video they will be playing	a man plays guitar for a crowd	a tour of a laboratory	2
video7961	man waving hands in front of sports cars	two women are talking about wine	a band is performing on stage	a band is drinking on stage	gameplay with cars driving around	2
video7960	a man is sitting	a man is naming items	a clip from a movie is playing	a man is singing	people watch as a man emerges from a capsule in a futuristic room	3
video7967	a guy on the news talking wearing a white suite and black shirt	a woman talking about a cake	a guy on the news standing in silence while wearing a white suit and black shirt	a man doing a car repair	the woman lay in the bed and then sit near the window and look out as she thinks	0
video7966	two teams of young men play basketball in a gymnasium	a man cutting the potato	woman speaks in reference to a power point she is presenting	matt damon and robin williams hug as matt cries into robin s shoulder	a man eating the potato	1
video7965	man leaning on a car and talking about the car	children animation video clip	someone in a lab working with plant tissue samples they were cutting them in pieces and	a woman with frizzy hair wearing a blue shirt with full collar and pearl earrings speaks by a blue wall near separated panels	man driving in a car an talking about the car	4
video7964	the couples are dancing in the game of throne	a group of men are having a discussion in a foreign language	there is a horse standing in a shelter	the couples are kissing in the game of throne	a woman is stirring flour	3
video7590	someone is using a rubicks cube	a man is crying on the shoulder of another man in a green shirt while hugging him tightly	three animated announcers are talking about another character wear red and blue	a man is laughing loudly on the shoulder of another man in a green shirt while hugging him tightly	a man talks about the wheels on his car	1
video7969	japanese student on an iphone	a man is incapable of hearing music and playing an instrument in his car	a clip from a televsion show in a foreign country	a man is listening to music and playing an instrument in his car	an elephant holds a red sign next to a lion holding a red sign	3
video7968	a man using a knife cutting vegetables dish inside kitchen to prepare to serve to eat being videotaped by a cellphone	footage from a monster truck style event followed by a frat party	man is mixing the meal in the black pan	a woman in a pink shirt delivers the news of the day	a man a knife cutting vegetables dish inside kitchen to prepare to serve to eat displaying on screen	4
video8789	there is a cool guy talking to his father	a baking mix is stirred in a bowl while oil is added	truck driver pulling the rare camera towards in from its current position	a reporter talking about a muslim singing about jesus	a reporter talking about a muslim writing a book about jesus	4
video8078	a young girl at gymnastics practice	a man talks about a snake he killed	showing applications for the ipad	a man talks about a snake he released	a man makes his cat dance by moving its front legs back and forth	1
video8079	a busy airport is shown	a baseball player plays in the field	a man in glasses talks while people yell at him	people sinking in row boats	people racing in row boats	4
video8879	an engine is being lifted	a woman and a man having a very excited conversation over the phone	there is a woman is screaming to a person	there is a woman is talking to a person	two players are fighting on stage to win	3
video8070	a cement truck working around a city	a commercial of a old lady and some naked people	a little girl is running around playing at a baseball game	a cement truck driving around a city	a person is on a show talking to an audience member	3
video8071	a man shows his computer set up	two men playing ping pong professionally and aggressive	avatar person floating on the clouds around the rope tree with few others	avatar person climbing on the rope tree with few others	girls sing in a choir	3
video8072	there is a video of an american football game in which players are catching touchdown passes in the end zone	a man is soliciting donations	a man is preaching	a person is using a computer program	a person is playing a biking game	2
video8073	a woman is critiquing a song about being on the edge in a video	a man explaining of something about the wind mill	friends are drinking together in the restaurant	a woman is singing a song about being on the edge in a video	a female journalist is interviewing a man in a foreign language	3
video8074	a person plays a guitar acoustically	a girl screaming in a restaurant	man driving in a car and talking	a girl sitting in a restaurant	two people dance to a super mario remix	3
video8075	a man is driving a car	a woman is kneeling in the water at a beach	a report on abc news is being shown	a cartoon set on a street in the fall season	a man is cleaning a car	0
video8077	a guy discusses his mine craft world in a play through	fire fighters showing young kids a fire truck	in a music video a man is playing his guitar and singing with a crowd	a guy raps about his mine craft world in a play through	woman speaking about make up	0
video7854	a person in winter clothes and a ski mask slides down the slopes of Lake Tahoe	a person in winter clothes and a ski mask describing north lake tahoe	commercial to highlight the travel to or certain climate processes of a destination	a man is singing	a man is talking about what kind of things are in a volks wagon vehicle	1
video8392	desperate lady smokes lies in sofa and looks for something	this is a clip of a couple actors from parks and recreation talking	desperate lady drinks wine and lies in sofa and looks for something	animated characters are playing cards at a table	a mechanic work with a vehicle	0
video7369	a man is giving a baby goat who is calling out a bath	a man shows us how to break a pc	a young woman is sending a text asking about a late night snack	a woman talking about food	a man shows us how to fix a pc	4
video7368	the old man is very busy with the interview in the media people	a person provides instructions on searching for music downloads online	four hispanic men are talking at a dance club	man kneeling in front of some type of machine	man standing in front of some type of machine	4
video7361	a camel bangs his face on a woman and she kisses it	groups of people taste test a food	a camel rubs his face on a woman and she kisses it	some people are riding on a bus	a woman is sitting	2
