clip	ending0	ending1	ending2	ending3	ending4	label
video9338	a girl running on the sand	an individual melting chocolate	obama joking and a politician giving a speech	a game show host closing out the show with the contestants celebrating behind him	a girl digging in the sand	4
video9339	a black jacket man is walking on the floor	a llama standing in the field and a woman narrator	captain jack sparrow sees a cannonball	kids are reacting to viral videos	a llama drives through the field and a woman narrator	1
video8783	in a interview about will play a lady talks about his many talents	in a interview about will smith a lady talks about his many talents	the lopez family sit down for dinner made by their children	a group of girl on stage is presented with a product for gray hair	a dance class with plenty of people	1
video8780	a bunch of guys hugging each other	a bunch of guys shoot at each other	a woman playing a video game aimed at young children	a old man with blue shirt and black had sitting in a sofa and explaining something with laugh	a man is folding his hands as he talks to a child to performed	1
video7726	guy doing a vlog for his youtube channel	a girl is preparing a drink	a woman is making lasagna	a girl is pouring a drink	a man talks about solar flares over video	3
video8781	an animated girl and animal talk and sit	group playing instruments and jamming out	an animated girl and animal talk and kiss	vine clips of soccer	a women is talking about the stock market	0
video7728	people are standing around tables dressed in old style clothing	a black screen shows words about network it and symbols of envelopes and red arrows	a group of kids are all in school	a woman is singing a song in a stage and another is playing guitar	people are sitting at tables dressed in old style clothing	4
video9028	a man is standing	a person is playing a computer online game	a girl is feeding a horse	in the sea shore play of the lovers and the girls sun bath are reflect in the secssion	a man is clapping	4
video9029	athletes react to wild and crazy tricks	how to replace an alternator	athletes performing wild and crazy tricks	a man is explaining how deadly mosquitoes can be	followed by a marvel logo a small figure streaks across what seems to be space	2
video9024	people are getting on a bus	a little boy is playing	a man with a 3d suit on	the woman talking about how to develop a show without a broke	the woman talking about how to cook on a show without a broke	3
video9027	a player in purple and red scores an easy point in table tennis match indoors	someone shakes a toy egg	women are presenting clothes at a fashion show	a dramatic movie showing a group of four girls running away	a dramatic movie showing a group of four girls walking away	3
video9020	a gymnist stands in front of his teammates	a bubble girl walking on stage while another women singing song	a gymnist runs in front of his teammates	army head is giving command	a women coming to home from outside leaving his chappls and walking towards the kitchen	0
video9021	a man playing a sport	a woman with tattoos applies makeup on her face	a guy doing some juice and taking tortilla of sweet potatoes	a person is putting some things together	a man commenting on a sport	4
video9023	a man and a woman kiss in a house	a man and a woman dance inside a house	a video about a shark	its a animated horse and a female	the base ball bats man hits the ball very hard and takes runs	1
video8175	two news anchors stand side by side in front of a night time cityscape	people jogging in place	two news anchors sit side by side in front of a night time cityscape	a man getting ready to get his blood taken	a woman is singing and dancing in the middle of street while many others around her dances as well	2
video7849	pictures of musical artists are being shown with text overlaid	a woman with red hair is holding a small green bird	there s a scary video of some monster or creature	a woman with red hair is chasing a small green bird	a guy sits in the driver s seat of a car and explains some of the car s features	1
video9277	a person is walking down a runway	some people are hiking around in green nature	a person is dancing on a runway	a guy discusses what camera he uses to film his videos	a video talking about pokemon	0
video7844	three persons are standing near the two red colour car and recording the car	a cartoon stork is delivering babies	giving students access to technology in the classroom	three persons are standing near the two red colour car and discuss about the car	mother and grandmother in aprons tasting food	3
video8416	showing a playstation two	a group of people protesting	a dance group is performing	a man playing a video game in which he controls a character that is holding a crowbar	a group of people dance outside	1
video7845	a woman giving a tutorial on how to make pancakes	a person is cutting the green leaves for harvesting	boys playing basket ball match in a stadium to reach the goal	horse race is going on in a race course	a person is cutting the green leaves for cooking	4
video8606	a man eats rice and a woman goes to the hospital	a video of a dogs life	a women is demonstrating croquette cooking techniques	there is a woman is doing makeup by herself very clearly	a man harvests rice and a woman goes to the hospital	0
video8756	a boy rides a gondola up to the top of a mountain	woman talking about how she did highlight makeup	the letter m is in the middle of the screen	woman talking about how she did cool makeup	a person with dark hair shows how to apply eye make up	3
video8319	a man shows his computer set up	the video game has lots of action	there is a man is falling down the bridge	small girls is arguing with anger with her mother and crying	there is a man is walking on the bridge	4
video8318	a bunch of people wave at the camera	a man has his arms crossed	a bunch of people dancing for the camera	this is a video of chinnese guy rapping	a child is preparing to bake something	0
video8315	a group is dancing	will smith talking with other two men sitting on a table	will smith talking with other two men standing around a table	table tennis players are playing tennis	a cartoon to the song mary had a little lamb	1
video8314	in a kitchen a person adds butter to a pan containing fried potatoes he then decreases the flame	a music video with two girls walking	in a kitchen a woman is coating potato balls in batter and placing them into a pan	news report from another country translated into english	a music video with two girls dancing	4
video8317	a logo for a show is presented while electronic music is played	an indian woman is walking with makeup between her hair	making the team of the hollywood movie jurassic world is telling their features	an indian woman is applying makeup between her hair	a cartoon discusses a dance	3
video8316	a man dressed as a cowboy and a man dressed as a football player kiss on a small football field	a woman is teaching young girls how to balance on the bar	a man is dancing on a field	a man dressed as a cowboy and a man dressed as a football player enter a small football field	a girl announces the need to clean the cage before putting shavings in	3
video8311	a lady is reviewing a viral video on the global news channel	there a four members with pink and blue dressing were playing shuttlecock	a lady is singing about a viral video on the global news channel	a ballet scene show	a man standing in a glass overhang of a tall building and jumps with another person checking the strength of floor	0
video8310	a man crumples garbage and examines a cup	the video shows the lyrics to a popular song	a video game of two wrestlers flipping each other	a man is talking about how his girlfriend is obsessed with horror movies	a video game of two wrestlers racing each other	2
video8312	some people are dancing around in green nature	a cartoon dolls moving jumping and group of boys sitting speaking displaying on screen	some people are hiking around in green nature	asians are all dressed up in different costumes on the street	a baby is sleeping in bed and just excited in getting up	2
video8605	a women with white hair long dress and crown on her head singing and walking outside	foreign video of a man propositioning a prostitute	a young girl confesses her attraction to an older man	a man is showing screens	a women with white hair long dress and crown on her head singing and dancing	4
video7843	a person seems to be answering questions from an audience	there is a woman talking to video game characters	one of the artist is singing a song at the same time the other one is playing the musical instruments	a boy is in a classroom playing	a boy is in a classroom singing	3
video9639	someone is stirring food inside of a pot	a video features dancing foxes and pop music	a guy talking about his car	a man is doing some scientific calculations on how to break shaq s record	someone is smoking food inside of a pot	0
video9809	a man standing next to a motorcycle	a man is interviewing another man about the movie interstellar	a video on how to make taco salad	a woman talking on talkshow	a man sitting next to a motorcycle	0
video9806	a group of women are rubbing oil and milk all over a woman	a man speaks on a a news panel	there is someone pushing a car through the forest	two women are on stage acting out a scene from grease while you re the one that i want plays for the audience	there is someone riding a car through the forest	4
video9807	a picture of the moon as the man mentions aliens	a person puting a tourch light ona small ball a person playing with small yellow color ball	someone drawing a story on a whiteboard	a picture of the moon as the man sings aliens	a guy talks about hawking	0
video9804	a person is playing a video game	a satellite in outer space filming	people are sitting at a table talking about a drink	some movie clips are playing outside	some movie clips are running	4
video9805	a animated clip of disney characters meeting old mcdonald	a animated clip of disney characters singing old mcdonald	movie clip scenes of different genres are showcased \( as well as movie trailer options \) as instrumental music plays	fathers practicing boxing martial arts with their children	a child is running through a park	1
video9802	late night sneak peek preview	count down of names of movie according to the movie board of directors	a boy is standing still while a woman dances behind him	kitchen is showed slowly	a boy is standing still while a woman watches him	2
video9803	some guys wrestle on the mat	men being interviewed on a radio show	someone is playing a game	some guys dance on the mat	scene from a tv show	0
video9800	the man checking the engine	a bunny and a kitten are eating	a car is running on the road	patient is attending by his relatives	a car is crashing on the road	4
video9801	there is a lady and a man hugging and kissing	a music video with a group of people in a gymnasium singing about the beach	a woman wearing pretty clothes as others stand behind her	there is a lady and a man hugging and crying	a person is walking down a runway	3
video9603	a man and a woman are standing in the verenta	a woman on her way out the door gets a call from a man standing in a store	a lady explaining about to prepare the meat dish	a woman on her way out the door gets a call from a man sitting in a store	a star is flying through the air and comes to a little girl s window	1
video8604	a dog is eating food from a plate	a blocky cartoon character plays catch with a human	a man talking about kuru disease	a dog is stealing food from a plate	a man arguing about something in a news channel to the news reader	0
video7444	a man mixes various spices in a metal bowl	a person is cooking	a big group of white bald people are looking and listening to a man on a wall	cartoon characters are talking about dehydration	a big group of white bald people are looking and hitting a man on a wall	2
video7445	a girl kisses a floating star	a man works on a car	a man drives a car	some guys are standing with bike in a road junction	group of people are walking and passing the shops	2
video8601	a man folding two different pieces of paper	a diver enjoying the beautiful wonders that live in our oceans fish and coral that pop right off the screen	a man holding two different pieces of paper	three man are looking and one eating ice cream	a man reads books	0
video9607	a man is beatboxing into a microphone	a woman in stylized egyptian costume is singing on a chair made to look like the sphinx surrounded by costumed backup dancers	a man talking of something about a laser machine	a man and a woman interact on a dating website	a man and a woman advertise a dating website	4
video8129	there is a big hotel and its kitchen side many people cooking	a person points out certain figures on a paper	a child is using an eye dropper	a person holding a bottle	there is a big hotel and its kitchen side many people travelling	0
video8269	women are holding hands	a man and a woman have a date while his emotions control him	a wise man talks about the process of learning	there is a woman talking to a camera	a wise man talks about the process of cooking	2
video8268	a live play of a mario type video game	shrimp salad on a plate with music playing	a man narrating while playing minecraft	cartoon characters are dancing	cartoon characters are interacting	4
video9609	a woman wearing a black shirt show us her clothes	a man is lifting a big container	a man is driving a big container	a lady singing a song and hugs a man	a tall building is on a busy street and stats on the building show in white lettering	2
video8261	a girl touches the screen of the camera while is chatting with someone across the webcam	a man talks to a second man while the second man attempts to block out his speech with his hands	an inhome chef stirs a pot of gravy and mushrooms	a girl touches the screen of the camera while is singing to someone across the webcam	a man is dressed like a woman at a business in front of coworkers	0
video8260	a man wearing black color dress ia talking with another man	an animated figure picks up a gun and walks towards another huddled animated figure	person is talking about a product that he sells online	person is talking about a product that he buys online	a guy telling us about about a movie being made into a tv series	2
video8263	a crowd records a fireworks display that is centered around a tall building	a clock is moving very fast	a guy chases a car through the street	an elevator door raises to show a volkswagon	a guy drives a car through the street	4
video8262	a man in suit is talking on stage	a clip from a famous movie where the actor walks towards an elevator before turning to the right	a wrestler runs to the wrestling mat	a woman is interviewing a man who has just written a book	a wrestler steps off the wrestling mat	4
video8265	a man dancing with a stuffed sheep on a stick then dancing on a couch	a boy is dancing for a song on the voice	beach side homes with wooden are so beautiful	a dog with only two legs runs on the beach	a boy is performing a song on the voice	4
video8264	more players are singing and ready for runnong	a person navigates a menu on a video game	more players are sitting and ready for runnong	clips of hockey an basketball	a woman in black is sitting in the chair but gets up and moves a desk to discover a hole in the wall	2
video8267	a foreign military themed show	a man is jumping	a man is singing	a girl playing with a toy	a man talks to a little boy about not letting people convince him that anything he wants to do in life isn t possible	1
video8266	a person is inspecting a cup	cartoon children are flying in airplanes	a clip of hulk and iron man fighting	a woman folds a piece of paper in half	a clip of hulk and iron man interacting	2
video8441	a group of people dance outdoors	a person is folding paper	a man talking about teachers	the lady eating ice creams and stone her stomach	a group of people celebrating outdoors	4
video8440	a man gives commentary over cooking	a man gives commentary over wrestling	there is a hot woman is singing a new song	man cooking sausage on cutting it	a guy describes the functions of the controls on the dashboard in a car	1
video8443	tow people talking about an album	two people are dancing together in a room	a man is shooting another man from behind	a man is holding another man from behind	women dressed in barely any clothes posed for people watching	3
video8442	a man talking about a group of students	a person showing off various cat videos and asking people to subscribe	a boy and a girl are dancing in the dark	a computer game bus is crashing on a road	a boy and a girl are hugging in the dark	4
video8445	boy and girl sing a song from grease on tv	a black comedian walks through a crowd	a woman stirs gravy	a man doing voices while playing with toys	a black comedian performs for a crowd	4
video8444	two women stand with aprons and sell a food item	two women stand with aprons and preparing a food item	people are watching a man perform	a man is talking to a woman from the middle east	a roof is shown while a voice over thanks the person who gave him the video	1
video8447	a man sealing a envelope	a girls is posing to the photo are displaying	a group of children performing on stage	a group of children walk off stage	scene from a movie	2
video7202	a blonde woman talks about how much she liked working with someone	a group of people are singing in a room	a young couple is having a discussion about going for dinner	a group of people are dancing in a room	an animated man discusses dr sachs who can t recognize his own face	3
video7200	a girl runs down the field and gets a trophy	a girl walks across the field and gets a trophy	a compilation of spots videos with music	two man s are talking to each other	in a clip for an animated show one man jumps on a rock as another encounters danger in the water	1
video7201	a guy holding a white dog and playing with it	a guy holding a white dog and smelling it	a man is carrying a goat	there is a man is playing some sticks	richkidstv is a channel mainly of prank videos	1
video7206	a russian hind helicopter is attacking isis positions	this is a video game from happy little guillotine studios	teens holding up a large beach bal	cartoons snow white and the seven dwarfs 1938	a russian hind helicopter is checking out isis positions	0
video7204	there is a boy watching someone in the street	dog walks down the stairs	army man with loaded machine gun walking down the stairs	cartoon characters riding mini airplanes	there is a boy fighting with someone in the street	0
video7205	a man holding a black electric guitar while sitting in front of a band and behind a singer	man tells woman if he can last in the ring with her she should go to dinner with him he does not last	an asian woman in the navy talking	a news anchor is talking about a story	a man holding a black electric guitar while standing in front of a band and behind a singer	4
video9474	a person is doing shopping of snakes in a business area	a man talking about eating with a balance	a gospel choir is singing a song	a man talking about checking a balance	a man talks about the best technology stock to by right now	3
video8999	there is a man in blue is talking with a man	a girl is standing in the water	a girl is playing in the water	animated characters are in pain	a cartoon character yells as a bear tackles another bear	1
video9511	a man is explaining many different soup techniques he adds a few tips as well	a car drives along a road	a car rolls down a road	a compilation of basketball videos	a scientist is shown looking at a fossil excavation	1
video9472	small boy wearing a weird kind of outfit	a girl is texting on her cell phone while laying in bed	english sentences are displaying	english sentences are moving	a person making a paper airplane	2
video7970	a boy is singing	a boy is laughing	a woman gives some cooking tips and tells you what to prepare a dish with	george lopez s family sits down for dinner	a cartoon video game is played	1
video8044	a brown goat is playing with a man	a man talks about network it and how it helps people collaborate using a set of slides	a baby tiger and a tiger are in the picture	a brown goat is charging at a man	disney movie video clips	3
video7972	sports injuries are shown in still photos	a guy runs across a body of water in minecraft	a guy dives into a body of water in minecraft	a judge and a woman are talking to each other	a compilation of vine videos is shown	2
video7973	a woman has photos	a person fries balls in oil	a medal piece object is continuously being cut by a machine	a person dips balls in oil	a video game character is running around	1
video7974	a couple are dancing in hindi	some graphic drawing of the fish ox and trees while a fish drawing moves	a couple are arguing in hindi	a woman mixes ingredients together	many men and women are singing together	2
video9578	there is a black suit man walking on the road	a diver is repairing something underwater	men teach people the different parts of a fish while cooking	a diver is watching something underwater	a girl wearing coat sitting in the sofa and speaking about the weight resistance	1
video7976	a boy is playing a guitar	a white plate contains delicious noodles with lot of prawns in it	a woman in white is shown with a winter scene in the background	mariah carey sings to nick cannon in bed and pulls the covers over their heads	a boy is singing with a guitar	0
video7978	an exploration of something about the peoples in the city	a group of asian ping pong players standing on the ping pong table	person shows off a white car	random people behind computers vividly talking about ridiculous dreams and crazy thoughts	a group of asian ping pong players sit at the ping pong table	1
video7979	a man talking about dna molecules and scientific concepts	a woman is giving a demonstration about pancake presentation	a man is wrestling in a ring	freddy kreuger performing a fatality in mortal kombat 9	a man is boxing in a ring	4
video8049	a person is explaining something	in a cartoon set in someone s home a man and a young girl with a monkey are having a conversation	a guy is spinning around with a bat	a guy is swinging a bat	two men are entering into the hospital room	2
video8048	a family is preparing to grill a meal together	a woman with a stroller	a man is showing the placement of a bracket in the engine compartment of a vehicle	a man is telling a ingredient for cooking	a family is preparing to eat a meal together	4
video9576	a man is driving	a scene from a movie of kids and play dancing	a team plays soccer on a field	a man kisses a woman on a bench and leaves	a scene from a movie of kids and play fighting	4
video9577	an animated character fell down a set of stairs	a video of video game characters having a conversation	father and son pushing a car in to the river	there is kid with her horse and watching	there is kid with her horse and walking	3
video9574	a guy in a wet suit is surfing on the waves	islamic people in the street	its a mini microven	some men women playing in the beech side	a guy in a wet suit is driving on the waves	0
video7376	a person trying to record or photograph something with their camera	a boy talking with his girl friend	there is a man thinking about a dish in the kitchen	a person is measuring a doorway	there is a man cooking a dish in the kitchen	4
video7377	young african american from complex news reacting two rap stars	a still boy in blue color dress wearing cloth standing still picture lifting weight lift displaying on screen	young african american from complex news interviewing two rap stars	a young girl dips a brush in glitter to put on her eyes	gameplay for mario party	2
video7375	two men singing to each other	a man is standing at a desk with a toy pig	a man is sitting at a desk with a toy pig	hardcore skiers exit a helicopter and prepare to ski down a very large mountain	chris helmsworth discusses avengers age of ultron	2
video7372	a girl is putting on glitter	a girl is decorating with glitter	a person playing a video game and commentating	person preparing food	a bearded man is talking about the news	0
video7373	a news attack about a terrorism attack	a couple is holding each other	a couple is kissing each other	girl performing on stage	a man combines several ingredients into a pan on a stove	2
video7370	a bunch of people are dancing on the beach	a time lapse video of ships moving in and out of a rainy harbor	a cartoon falling down the stairs	a bunch of people are hanging out the beach	people are talking about life	0
video7371	a woman sits on couch with puppy and shows it the phone then plays with it	a space ship revolving through a night sky	a space ship falls into a night sky	two women talking on the camera	a man playing minecraft	1
video7378	a person playing a video game	a man showing anger towards something in his closet	a cat is playing with toys near a baby	a clip of soccer highlights	a clip of soccer plays	4
video7733	a child is singing on stage	some government officials having a meeting	a child is dancing on stage	a man is bouncing in a bouncing net in a outdoor	a guy talking about an electronic gadget	0
video7730	some animated characters dance around	its a windows download installer set up file	football players are shown throwing footballs	a woman in red is running on the ramp	a woman in red is walking on the ramp	4
video7939	two  persons speaking  each other and sitting at the table	the obama family listens to singer	a band is playing on stage	two  persons speaking  each other and cooking on the table	humans are programmed to be in a relationship with other human beings	3
video8688	a woman is playing the piano	a person throws a paper airplane	a person folding a paper airplane	a country music video	a strange helicopter is being shown	2
video8687	this is a video from the voice kids	a clock at an airport moving	someone giving demo for some game	a lady embalmer explains how the job a an embalmer is equally noble and challenging like that of a nurse or doctor	a clock at an airport glows	1
video8686	a wok on a stove with upbeat music and instructions	a chef is decorating something	a chef is cooking something	a woman is talking in a phone and walk among others	a person is drawing a cartoon	2
video8685	a couple is kissing and a child is laughing	a couple of people recording a show in a kitchen	a video game is being played	a couple of people cooking on a show in a kitchen	pokemon video game with words	1
video8684	a man discusses the brochure from a dvd	a group of women are swimming professionally	a girl is doing gymnastics	a man pulls the brochure from a dvd	a man slices potato into equal pieces	0
video8683	a man and woman sing a webisode	people riding on a subway	an animated king henry died in a dungeon while king edward iv sits on a throne before dying	someone sprinkles pepper on a plate of food then takes a bite with a spoon	a man and woman shooting a webisode	4
video8682	a man wearing a plad shirt celebrates computing forever	a woman is describing the availability of alpacas for sale	still pictures of men playing baseball in blue and grey uniforms	a man wearing a plad shirt discussing computing forever	a story about world of warcraft is shown	3
video8681	a boy playing with his dad	a boy walking with his dad	men surrounding factory objects	inside of a brand new fancy car	two men discuss mexican street food	0
video8680	an ad for a movie is playing	two rugby teams scrum then the team in blue steals the ball	a short clip of soccer playing on the field	an ad for a movie is opening up	a woman runs up to man who in blue shirt carrying backpack in a village	0
video7152	a man is doing home improvement	a young woman slides down a small waterfall into a slightly larger natural pool	a man demonstrates the behind the scenes of a factory	lady preaching by standing on stage	a young woman points to a small waterfall into a slightly larger natural pool	1
video7153	a man slams another man into the ground during wrestling	a man slams another man into the ground during running	some white furry animal walks towards the camera and showing their face	a soldier is huddling in a snow covered embankment when a light appears through the trees in the sky overhead	someone is playing a video game	0
video7150	the mountain views are from a boat on the center of a lake	two wrestlers having a match in front of an audience	guy in red uniform hitting a ball in a baseball match	a cartoon of guys playing poker	guy in red uniform missing a ball in a baseball match	2
video7151	a man is sitting in a electric chair another one is driving	a man is sitting in a electric chair another one is standing near	a man drives a car and talks to the camera	wayne talks to a guy in a car	people acting stupid	1
video7156	girl in blue tshirt jumps from a horse and stands next to it	a man demonstrates the room he has setting in a passenger van	a band and singers perform	a band and singers dancing	a man living an ordinary life helping others	2
video7154	someone pushes buttons on a microwave to set the cooking time on a bowl of rice	a man is talking about egyptian ancient history	someone pulls buttons on a microwave to set the cooking time on a bowl of rice	a video game is being played	a man walks along some trails on the top of a rocky cliff with a view in the forest	0
video7155	there are two men standing near a pond	a man is using a chefs knife to slice up small pieces of meat for cooking	an animation talking about economists	potatoes are added to a pan	there are two men swimming in a pond	4
video7158	a guy explains how to find the product of 2 arrays	two presidential candidates stand side by side at their podiums on stage	sponge bob and friends by a tree near water	two presidential candidates sit side by side at their podiums on stage	advertisement of a restaurant	1
video9368	man shows how to make a crust for a pie	an advertisement for a home lighting product	a man holding a small black object in his hands	a man poses with a small black object in his hands	a man talking about rock n roll bands	2
video8863	an animated girl and a baby play in the backyard then mom comes out and they cry	students are shown in a school	some people are fighting outside	an animated girl and a baby play in the backyard then mom comes out and they laugh	a woman talking about helping children in a classroom	3
video8862	a dog is about to jump over a toilet	people are doing various tricks with their dogs	a white colored dish rotating in a black colored oven	a dog is about to drink from a toilet	the animal is having the body of a goat and miniature of camel as neck and head	3
video8861	person folding paper	this is an animated cartoon video	a man plays the guitar while his partner raps	a man plays the guitar while his partner watches	a woman plays fiskal clif with an illustration of an american flag	2
video8860	a man dances around at a wedding	a man is walking through the video game world of warcraft	a man is commentating over the video game world of warcraft	young women dressed in colorful outfits run along a mountain pathway	a woman giving a pep talk about a kitchen task	2
video8867	a person filming his pets in his house	a person playing with his pets in his house	woman stabs batman in the back	a young woman gives a second woman a massage in a spa	a lady cooking some food	0
video8866	a dog is running	different dancers are breakdancing	people in costumes are in in asian city and moving around	a dog is lying around	a person giving an interview of a car	3
video8865	a man is busy in cooking in the kithchen	women being interviewed and then laughing	a man is busy in travelling to the kithchen	a man playing minecraft	documentary about people with disabilities and extra legs	0
video8864	a person is driving a car on the road	a man is reporting news about a missing	ruby cube play by young man	several black people mock white people in three different scenes of this vine	a man is reporting news about a shooting	4
video8868	a woman opening a package and pulling something out of it	a woman opening a package and pushing something out of it	a man walks onto a porch and dances	a man kisses a young womans neck while standing against a wall	music plays as a woman in a beige dress dances sexily and flirts with the camera	0
video7798	a man talks about raising a sugar glider	a sensuous movie trailer	couples describing the logic behind movie scenes	a dog interacts with a human in a gamecube ad	a dog chases a human in a gamecube ad	3
video7799	an animated character pretends to run	bill murrey is cooking with david letterman	a man explain and how is prepare the food	some one showing the pictures of different countries	a man explain and how is taste the food	2
video7795	a person in black standing with a red color wing on water	a man in front of an apartment complex recording a video	a musician with long hair performs with a guitar	someone is playing a game	a person in black turning a red color wing on water	4
video7796	a man sings a song on stage	a kid is sitting on a truck in the sand	2 women sitting in chairs discussing child birth	its a animated video	a kid is playing with a truck in the sand	4
video7797	there is a man swimming in a pool	a choir in a church is practising	a man driving his car and talking	there is a man jumping into a pool	a video is shown of soccer players messing around	0
video7790	a man sings a man being interviewed by a news reporter	home video of a a baby scaring their father as he wakes up	a cartoon crane is digging	a man interrupts a man being interviewed by a news reporter	in this stop motion video toys are being moved around to depict a scene with a dinosaur	3
video7791	a woman is ping with a pin and fall down	a child singing with other children for a televised talent show	a music video with a group of people in a gymnasium singing about the beach	a child auditions other children for a televised talent show	in the hallway a man in a suit walks until the elevator doors open another male comes out	1
video7793	a man discusses parts of an engine	two guys talking to each other while a girl listens	people on the plane shake about as it plummets	people on the plane cheering as it plummets	fresh lettuce is cut as kidney beans are set aside	2
video7333	there is a old man is watching with sharp eyes	a woman is talking about different types of bars that are very delicious according to her	a foreign soldier talks about unrest	an advertisement is displaying	there is a old man is walking with sharp eyes	0
video9798	someone is giving demo for some phone	a man cracks a plant before picking it	a man cracks a plant before cooking it	well dressed asian chef shows us howto prepare rice	the queen of england is seen walking with an entourage including a few islamic women a woman narrates how the queen created an outfit similar to the women in islam	2
video7559	the anchor is talking all the time and the other participants are listening carefully	a girl in blue dress wearing color cloth speaking sitting and television screen a person speaking displaying on screen	a man is eating at the table	two runner stand at starting line and race around track with group as starting shot is fired	a man is sitting at the table	2
video7556	a group of kittens and the mother kitten bathing and snuggling	a group of paint buckets are singing	a baseball player prepares	a baseball player celebrates	a video of a girl singing on stage while her family watches	2
video7554	a man grilling vegetables in kitchen	a woman is showing some ingredients and talking about that	girls displaying some great trending designs on a fashion show ramp walk	there is a man is driving a car lonley	a man cutting vegetables in kitchen	4
video9793	a group of musicians converse	opening scene from the show benson	a woman singing & dancing reviewing in a television	a woman talks about a game	a woman singing & dancing waving a television	2
video9791	a bunch of runners run while a man gives strategy for a race	a celebrity is posing for pictures	a lady commenting on a music group	a man sits in a large black truck adjusting mirror	a lady singing with a music group	2
video8671	a woman reviews a shirt and tells you what it can go with	man talks while driving a car on an interstate	a man is yelling on the phone	a man is singing on the phone	man describing about his past	2
video7542	a man commentating on a video game	a small girl looks to be alone sitting and a small boy dressed in police dress approaches her	a small girl looks to be alone standing and a small boy dressed in police dress approaches her	skeletons are dancing to a song	a little hamster hides in a roll and peeks his head and crawls out	2
video9248	a jockey is warming up a horse	four girls are running away in fear	a man shows us two nexus 7s with broken screens	a man is playing ping pong with another person	a jockey is riding on a horse	4
video9249	a man discussing slides	a man slides slides	a driving simulation video game	a minecraft character is climbing a hill	a woman is showing how to clean chitlins	0
video9240	in the cartoon adventure time the characters are worms	a video game character jumps around	the boys stand shirtless and wiping of something that irritates	the boys sit shirtless and wiping of something that irritates	ladies in red taking selfies with their mobile phones	2
video9241	a girl laughing at a guy horribly dressed up	a man eats kimchi fries	a girl laughing at a guy horribly singing	teens sing on stage together	some kids are dancing little bit	2
video9242	a man is drawing several people and singing to them	a woman is making a salad in a kitchen	a man is talking some thing in the room	a person is throwing a paper airplane	a man is drawing several people and colouring them	4
video9243	a person is drawing a picture of squidward	a band is performing on a stage	a man works on a motor	a band is working on a stage	a tutorial on how to cook from allrecipes	1
video9244	groups of people visiting a museum	a woman in a gym	groups of people singing in a museum	obama picture is displayed on the screen	its a cartoon	0
video9245	a person using a sharp cutting knife to cut through the fish on the cutting board just behind the gills	a man is attempting to get people on the street to talk to him	various horses are shown outside including mother and father horse	a man is reviewing tom hanks	a man is interviewing tom hanks	4
video9246	there is someone enjoying to the beautiful place	there is someone traveling in to the beautiful place	a girl playing a video game	judge gives critique to child on the voice	a group of soldiers run and one gets shot	1
video9247	a cartoon character fights a battle	animated gopher makes a narrow escape	a cartoon character prepares for a battle	one man is talking and the other has a guitar	a blonde man with glasses explains an experiment in a science lab	2
video7710	a woman is talking	this is a video advertisement about a fruit juice	different couples are shown at a table in a white walled room speaking about nutraloaf and if it sounds healthy while we also see screens with words talking about nutraloaf being used in prison as a punishment	a basketball player shoots a layup	a basketball player records a layup	3
video9489	a drummer drums while men walk on bicycles and rap in an alleyway	a drummer drums while men ride bicycles and rap in an alleyway	hockey play by players	a man gives a lecture on a topic	a guy in a black jacket is standing by a mountain	1
video7147	a movie poster has a red food truck drawn on the bottom of it	a person is interviewing the personality about the bank rupancy and the details about the bank	a television show or documentary showing a transition in time ten years later	a man is cooking a food	a man is eating a food	3
video8929	models are walking down a short runway	a man is commentating a game	kids are reacting to viral videos	a group of people celebrating some kind of festival	a man is playing a game	4
video9309	kid is purchasing in market	a person is decorating shrimp salad	epic music set to a video of football game preparations	a person is eating shrimp salad	a basketball player dives into the audience to get the ball	3
video9308	a woman is walking the runway	a woman is dancing on the runway	a person illustrating how to make people work	young people sit at a table and talk about pop culture	it is gameplay footage of plants vs zombies	0
video7544	a group preparing on stage in front of audience	a race car is driving down a track	bunch of cookies and pastry on display	a race car is standing on a track	an infomercial about a stroller	1
video9305	man talking while sitting on a bench with snow on the ground and a snowy mountain in the background	a soccer player kicks the ball	there are two people wrestling	a soccer player passes the ball	men recording a song	1
video9304	a boy is singing on a stage	women walking down the runway in a fashion show	a boy is dancing on a stage	clips from an old detective show	someone is playing with an animal	0
video9307	a guy stands on a mountain side wearing a green jacket	animals are running on the shore of islands	the women was open the door and enter in to the kitchen	the women was open the door and dancing in the kitchen	there is a yellow jersey man playing badminton with balance	2
video9306	a guy talking about his car	lady showing how to prep food	cartoon characters are interacting	cartoon characters are fighting	an animation of polymers is being described	3
video9301	a man folding paper	highlights from a basketball game are being shown	a man sits on the wooden bench and tells his experience about the snow skate	a man cutting paper	a blue and gray round graph showing the lapse in hours showing that the ion torrent is faster	0
video9303	a pizza is being made with toppings	a boy is singing	baseball players are shown celebrating victory	a girl and a horse on stage	a boy is dancing	1
video9302	there is a orange jacket man is operating a machine	a coach gives some practice tips to a soccer team	there is a orange jacket man is sitting with a machine	people eat different snacks	a man is presenting a car	0
video7209	a cartoon puppy dog is happily enjoying his food	people do scientific experiments with the size of fish	a car rolls down the road	a man is singing a song and playing guitor in a stage	a car drives along the road	4
video7149	a man is fitting some spares in his experiments	a woman singing dancing reviewing in a television	a message about too much smoking	a message about too much drinking	an arial view of animals running	3
